"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CLG146","Not disclosed","SCS1","Deputy Director - Strategic Workforce Planning","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","CFO and Corporate","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","540303","1.00","70000","74999","","","","1"
"CLG154","Not disclosed","SCS1","Deputy Director - (Leave of Absence)","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG240","0","1.00","75000","79999","","","SCS on leave of absence report to HRD for purposes of this organogram","1"
"CLG159","Not disclosed","SCS1","Deputy Director - Governance Reform & Democracy","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG449","818010","1.00","95000","99999","","","","1"
"CLG217","Not disclosed","SCS1","Deputy Director - Housing and Planning Analysis","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG266","1638593","1.00","75000","79999","","","","1"
"CLG224","Not disclosed","SCS1","Deputy Director - Shielding","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG243","456177","1.00","70000","74999","","","","1"
"CLG231","Not disclosed","SCS1","Deputy Director - Building Safety","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Stronger Places","0303 444 0000","contactus@communities.gsi.gov.uk","CLG243","0","0.80","70000","74999","","","","1"
"CLG245","Not disclosed","SCS1","Deputy Director - Planning - Development Management","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG142","1254367","1.00","80000","84999","","","","1"
"CLG246","Not disclosed","SCS1","Deputy Director - Residents Bill and Reform","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Building Safety, Grenfell & Net Zero","0303 444 0000","contactus@communities.gsi.gov.uk","CLG318","1027739","1.00","75000","79999","","","","1"
"CLG248","Not disclosed","SCS1","Deputy Director - Social Housing","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG247","981512","1.00","75000","79999","","","","1"
"CLG252","Not disclosed","SCS1","Deputy Director - Planning - Development Plans","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Housing and Planning","0303 444 0000","contactus@communities.gsi.gov.uk","CLG142","0","0.86","70000","74999","","","","1"
"CLG254","Not disclosed","SCS1","Deputy Director - Covid Secure","","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government","Local Government, Strategy and Analysis","0303 444 0000","contactus@communities.gsi.gov.uk","CLG269","779000","1.00","75000","79999","","","","1"
