"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1105340","Adm A D Radakin","OF-9","First Sea Lord / Chief of Naval Staff","The Royal Navy's professional head responsible to Secretary of State for the fighting effectiveness, efficiency and morale of the Naval Service; a member of the Defence Council supporting Secretary of State in the management of the Armed Forces.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","XX","1023499686","1.00","190000","194999","","Military","","1"
"2112086","R Adm I S Lower","OF-7","Assistant Chief of Naval Staff (Director Strategy & Policy)","The Assistant Chief of the Naval Staff is the First Sea Lord's agent in the MOD, Whitehall and London. He is responsible for leadership of naval issues in the capital, for Navy Board management, the support to national strategy and policy development and the Royal Navy's engagement across government, London and with international partners.​​","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","1105340","0","1.00","120000","124999","","Military","","1"
"1105593","Eliminated","OF-6","Head of Naval Staff","Leads the Naval Staff Directorate in providing support to First Sea Lord, ACNS(Policy) and the Navy Board; including the development of strategy and policy, and the delivery of strategic level engagement across Defence, including internationally.","Ministry of Defence","Ministry of Defence","Navy Command","N/A","NavyStratPol-SECFOI@mod.gov.uk","2112086","0","1.00","N/A","N/A","","Military","","1"
"249006","N/D","SCS1","Deputy Director Strategic Planning","Responsible for providing support to strategic issues spanning policy, operations, capability, commercial, and finance.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2112086","0","1.00","N/A","N/A","","Operational Delivery","","1"
"2112087","N/D","OF-6","Deputy Director Policy & Engagement","Directs the formulation of the RN's contribution to national security objectives, leads the development of future maritime strategy and the RN's international Defence Engagement effort, and responsible for promoting an inclusive culture in the Naval Staff, working to increase understanding and engagement through education and initiative.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2112086","0","1.00","N/A","N/A","","Military","","1"
"2054204","N/D","OF-6","Naval Regional Commander Eastern England","Responsible for coordination of the output and activities of the Eastern England Naval Regional Command.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2112086","0","1.00","N/A","N/A","","Military","","1"
"2054147","N/D","OF-6","Naval Regional Commander Wales & Western England","Responsible for coordination of the output and activities of the Wales and Western England Naval Regional Command.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2112086","0","1.00","N/A","N/A","","Military","","1"
"1866939","N/D","OF-6","Naval Regional Commander Northern England and the Isle of Man","Responsible for coordination of the output and activities of the Northern England Naval Regional Command.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2112086","0","1.00","N/A","N/A","","Military","","1"
"1942344","V Adm N W Hine","OF-8","Second Sea Lord / Deputy Chief of Naval Staff","Responsible for the Develop and Deliver functions under the new DOM and the totality of Capability Management. 2SL is in charge of all aspects of RN capability covering all Programmes, ISCM and DLODs. 2SL leads the Strategic Headquarters of the Royal Navy. 2SL is also the Royal Navy’s Principal Personnel Officer (PPO) responsible for maintaining the Moral Component of the Service now and in the future.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","1105340","0","1.00","150000","154999","","Military","","1"
"155423","Sarah Davies","SCS2","Finance Director (Navy)","Responsible for the financial management, governance, financial planning and investment assurance of an annual £6.5Bn budget. A member of the Admiralty and Navy Boards and the lead Civil Servant in the Command, the Finance Director acts at the Command's Civilian Workforce Advisor and oversees the execution of its Department of State functions, supporting Ministers and public and Parliamentary access to information.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","1942344","0","1.00","105000","109999","","Finance","","1"
"209418","N/D","SCS1","Deputy Finance Director (Navy)","Responsible for the financial management of Navy Command, and supports the Finance Director on all matters requiring professional finance advice.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","155423","0","1.00","N/A","N/A","","Finance","","1"
"157333","Vacant","SCS1","Command Secretary","Responsible for the delivery of the Department of State function of accountability to Parliament and the public with respect to Naval Service issues, including management and improvement of the reputation of the Royal Navy.","Ministry of Defence","Ministry of Defence","Navy Command","N/A","NavyStratPol-SECFOI@mod.gov.uk","155423","0","1.00","N/A","N/A","","Operational Delivery","","1"
"249722","N/D","SCS1","Deputy Command Secretary","Responsible for delivering for the Naval Service the Department of State function of accountability to Parliament and public.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","155423","0","1.00","N/A","N/A","","Operational Delivery","","1"
"213916","N/D","SCS1","Head of Navy Effectiveness and Strategy Team","Head of a multidisciplinary team with policy, commercial and financial expertise who conduct projects on behalf of the Finance Director.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","155423","0","1.00","N/A","N/A","","Finance","","1"
"1121945","Eliminated","OF-6","Assistant Chief of Staff Resource and Plans","Supports the Finance Director in delivering the planning and programming function relating to Navy Command's delegated budget.","Ministry of Defence","Ministry of Defence","Navy Command","N/A","NavyStratPol-SECFOI@mod.gov.uk","155423","0","1.00","N/A","N/A","","Military","","1"
"2116327","R Adm P J Hally","OF-7","Director People, Training Transformation and Naval Secretary","Responsible for ensuring that there are sufficient numbers of capable, motivated and suitably deployed people in the Naval Service in order to meet the needs of d​efence employers, both now and in the future.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","1942344","0","1.00","125000","129999","","Military","","1"
"2116954","N/D","OF-6","Naval Assistant","Responsible for ensuring that every member of the Naval Service family is able to achieve their full potential within the organisation to maximise operational capability.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2116327","0","1.00","N/A","N/A","","Military","","1"
"2116856","N/D","OF-6","Head of Navy Healthcare","Ensures the timely delivery of properly equipped, suitably trained and experienced personnel to provide the medical component of Royal Navy operational capability for both current and future force requirements.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2116327","0","1.00","N/A","N/A","","Military","","1"
"70503","N/D","SCS1","Head of Nuclear Department","Leader of an academic team delivering nuclear science, technology and safety education for the Defence Nuclear Enterprise.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2116327","0","1.00","N/A","N/A","","Science and Engineering","","1"
"2120279","N/D","OF-6","Deputy Director People Delivery","Responsible for delivering Sufficient Qualified and Experienced Personnel (SQEP) within available means to meet the Workforce Requirement and for supporting RN personnel, communities and families in order to sustain operational caapability.","Ministry of Defence","Ministry of Defence","Navy Command","0300 1623106","NavyStratPol-SECFOI@mod.gov.uk","2116327","0","1.00","N/A","N/A","","Military","","1"
